exp_name,layer_count,layers,steer_direction,first_half_matches_direction,steer_alpha,first_half_scale,second_half_scale,first_half_positive,second_half_negative,second_half_perplexity,first_half_positive_norm,second_half_negative_norm,inverse_ppl_norm,score_avg,score_mul
pattern_l25-31-16-24-26_a2.0_fh0.5_sh2.0,5,"25,31,16,24,26",positive,True,2.0,0.5,2.0,0.19565247274935246,0.4589000642299652,nan,0.2506865809938242,0.7116415828515984,1.0,0.6541093879484742,0.17839899529810047
pattern_l25_a1.2_fh0.5_sh2.0,1,25,positive,True,1.2,0.5,2.0,0.2754321131395409,0.2837894278613385,9.829503889083862,0.5352430606523169,0.4181085393022527,0.9998253922248309,0.6510589973931334,0.22375061884038658
pattern_l25-31-16-24-26_a1.6_fh1.0_sh1.0,5,"25,31,16,24,26",positive,True,1.6,1.0,1.0,0.2448592424765229,0.34869529301300645,625.6430663597583,0.42619633637060744,0.5269084188370742,0.9851844719907481,0.6460964090661433,0.22123936736334252
pattern_l25_a1.2_fh1.0_sh1.5,1,25,positive,True,1.2,1.0,1.5,0.3086039873119444,0.20124140910804272,8.492227432727814,0.6535598604273943,0.27973561298488503,0.9998571858700535,0.6443842197607776,0.1827978583330242
pattern_l25_a2.0_fh0.5_sh1.0,1,25,positive,True,2.0,0.5,1.0,0.2885219021141529,0.23580481868761127,8.679437870979308,0.5819314670160315,0.33767328610244474,0.9998527349562373,0.6398191626915711,0.19647377277342115
pattern_l25-31-16_a2.4_fh1.0_sh1.5,3,"25,31,16",positive,True,2.4,1.0,1.5,0.22573119182139634,0.36470120690762997,823.245250684023,0.3579707749299778,0.5537386829358651,0.9804864952083516,0.6307319843580649,0.19435425431279657
pattern_l25_a1.6_fh0.5_sh3.0,1,25,positive,True,1.6,0.5,3.0,0.2677174627408385,0.32927699512802067,4852.77658003211,0.5077265946903982,0.4943580712572232,0.8846846967922402,0.6289231209132872,0.22205474426038166
pattern_l25-31-16-24-26_a1.2_fh0.5_sh2.5,5,"25,31,16,24,26",positive,True,1.2,0.5,2.5,0.30477870360016823,0.20303888633847236,1825.4845520782471,0.6399159124051385,0.28274867360244776,0.9566583326581407,0.6264409728885756,0.17309333459653978
pattern_l25-31-16-24-26_a1.6_fh1.0_sh2.0,5,"25,31,16,24,26",positive,True,1.6,1.0,2.0,0.21908986277878284,0.3540357999503613,nan,0.3342826108397794,0.5358605606825195,1.0,0.6233810571740996,0.17912886727102068
pattern_l25_a1.6_fh1.0_sh1.0,1,25,positive,True,1.6,1.0,1.0,0.3168884515576065,0.14456941187867642,7.696570603847504,0.6831087274073986,0.18473793508405612,0.9998761025501581,0.622574255013871,0.1261804603646981
pattern_l25_a1.6_fh0.5_sh1.5,1,25,positive,True,1.6,0.5,1.5,0.26826921273837795,0.24565648754942232,9.51009786605835,0.5096945659194425,0.3541873620319056,0.9998329860785399,0.6212383046766293,0.1804972231603845
pattern_l25-31-16-24-26_a2.4_fh0.5_sh2.0,5,"25,31,16,24,26",positive,True,2.4,0.5,2.0,0.16425058409571647,0.45659611582756043,nan,0.13868293136336593,0.7077795388275285,1.0,0.6154874900636315,0.09815694120361293
pattern_l25-31-16_a2.4_fh1.0_sh1.0,3,"25,31,16",positive,True,2.4,1.0,1.0,0.29347679384052755,0.16762160852842498,21.109429430961608,0.5996044790758798,0.22337968514231266,0.9995572128598906,0.6075137923593611,0.13388015307556173
pattern_l25-31-16_a1.6_fh1.0_sh3.0,3,"25,31,16",positive,True,1.6,1.0,3.0,0.2879195948317647,0.18794440355151892,678.9495674157142,0.5797831690403724,0.2574462158812018,0.9839171140150856,0.6070488329788866,0.14686240336528916
pattern_l25_a1.2_fh0.5_sh1.5,1,25,positive,True,1.2,0.5,1.5,0.27472445120511113,0.1975574499357026,8.612974388599396,0.53271898573966,0.2735602956506933,0.9998543151204351,0.6020445321702628,0.14570953246898768
pattern_l25-31-16_a1.6_fh0.5_sh1.0,3,"25,31,16",positive,True,1.6,0.5,1.0,0.26443738376256076,0.20550217585405334,8.973911273479462,0.4960272723758878,0.28687781666106565,0.9998457338736697,0.594250274303541,0.14227726895394982
pattern_l25_a1.2_fh1.0_sh1.0,1,25,positive,True,1.2,1.0,1.0,0.3020791655941866,0.11873236121959053,7.628741127252579,0.6302872524120696,0.14142801243415545,0.9998777151907637,0.590530993345663,0.0891293728698994
pattern_l25-31-16-24-26_a2.0_fh1.0_sh3.0,5,"25,31,16,24,26",positive,True,2.0,1.0,3.0,0.3545851442962885,0.59352707862854,42063.609375,0.8175645626057538,0.9373130674619717,0.0,0.5849592100225752,0.0
pattern_l25-31-16-24-26_a1.2_fh1.0_sh3.0,5,"25,31,16,24,26",positive,True,1.2,1.0,3.0,0.13727931328117848,0.45525680303573607,nan,0.042482323822840444,0.7055344863955266,1.0,0.582672270072789,0.029972744519236177
pattern_l25-31-16-24-26_a2.4_fh0.5_sh1.5,5,"25,31,16,24,26",positive,True,2.4,0.5,1.5,0.13727931328117848,0.45525680303573607,nan,0.042482323822840444,0.7055344863955266,1.0,0.582672270072789,0.029972744519236177
