exp_name,layer_count,layers,steer_direction,first_half_matches_direction,steer_alpha,first_half_scale,second_half_scale,block_length,batch_size,first_half_positive,first_half_negative,first_half_perplexity,second_half_positive,second_half_negative,second_half_perplexity,full_text_positive,full_text_negative,full_text_perplexity
pattern_l25-31-16_a2.0_fh1.0_sh3.0,3,"25,31,16",positive,True,2.0,1.0,3.0,128,10,0.1598540672659874,0.0293123782845214,4.030522077083588,0.1359349714592099,0.162745766825974,1009.8629326438904,0.21543012756854296,0.02332384610082954,7.1419924545288085
pattern_l25-31-16_a2.4_fh0.5_sh1.0,3,"25,31,16",positive,True,2.4,0.5,1.0,128,10,0.3847583796083927,0.08287185015040449,6.184599840641022,0.09373487938468315,0.3725112338049803,10.935939265489578,0.08335215345214238,0.21170137414708734,6.0167077291011815
pattern_l25-31-16_a2.4_fh0.5_sh1.5,3,"25,31,16",positive,True,2.4,0.5,1.5,128,10,0.3586265455186367,0.05690457295277156,6.042191286087036,0.11666917935479432,0.3421676971763372,1177.3898310244083,0.17995860021328552,0.1142703275801614,5.384958863258362
pattern_l25-31-16_a2.4_fh0.5_sh2.0,3,"25,31,16",positive,True,2.4,0.5,2.0,128,10,0.35005149060860274,0.05118193731235806,49.43348164796829,0.1016743079572916,0.20133212298154832,924.0962006175519,0.11851692621363327,0.1158320970274508,6.117287795543671
pattern_l25-31-16_a2.4_fh0.5_sh2.5,3,"25,31,16",positive,True,2.4,0.5,2.5,128,10,0.33043380033224823,0.06436185344588012,111.70462971925735,0.11744646571576595,0.20371265541762112,638.0130443525314,0.28123791702790185,0.10467999982007313,16.038027851581575
pattern_l25-31-16_a2.4_fh0.5_sh3.0,3,"25,31,16",positive,True,2.4,0.5,3.0,128,10,0.4028400843590498,0.06355626790435054,6.859856731891632,0.09345907028764486,0.3390334819257259,1244.0294741058349,0.10456999044166877,0.23952959193848072,11.917946209907532
pattern_l25-31-16_a2.4_fh1.0_sh1.0,3,"25,31,16",positive,True,2.4,1.0,1.0,128,10,0.29347679384052755,0.014130518500460312,3.077876570224762,0.48332359645108225,0.16762160852842498,21.109429430961608,0.20747382373981962,0.03597279869496333,2.368122708797455
pattern_l25-31-16_a2.4_fh1.0_sh1.5,3,"25,31,16",positive,True,2.4,1.0,1.5,128,10,0.22573119182139634,0.029103901151102035,3.634081337451935,0.08408388489857316,0.36470120690762997,823.245250684023,0.06697028301656247,0.07663369746878743,3.066354820728302
pattern_l25-31-16_a2.4_fh1.0_sh2.0,3,"25,31,16",positive,True,2.4,1.0,2.0,128,10,0.17928533965721727,0.03996425483026542,3.8935050487518312,0.12102948147803545,0.1756965233385563,1235.6967133438586,0.11865426293108612,0.0579213072208222,5.505576543807983
pattern_l25-31-16_a2.4_fh1.0_sh2.5,3,"25,31,16",positive,True,2.4,1.0,2.5,128,10,0.215108457878232,0.022594808130525054,4.376807909011841,0.1424297109991312,0.18885567661374808,1070.6737819385528,0.21006559764966368,0.02118919751024805,7.4053703927993775
